,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-AG-A01Y,3,-1,3
TCGA-AY-6196,0,-1,1
TCGA-CM-5868,1,-1,0
TCGA-WS-AB45,2,-1,1
TCGA-F5-6465,2,-1,2
TCGA-AA-3514,2,-1,0
TCGA-A6-2680,1,-1,0
TCGA-AA-3553,3,-1,3
TCGA-DC-6683,3,-1,3
TCGA-AD-6899,1,-1,0
TCGA-AA-A03F,0,-1,0
TCGA-AG-3574,2,-1,2
TCGA-AA-3494,1,-1,0
TCGA-DM-A28H,1,-1,0
TCGA-DM-A1D7,3,-1,3
TCGA-AA-A03J,3,-1,3
TCGA-F4-6569,2,-1,2
TCGA-AG-3587,1,-1,0
TCGA-F4-6807,2,-1,2
TCGA-AA-3854,0,-1,3
TCGA-AG-3901,0,-1,1
TCGA-AG-3896,1,-1,0
TCGA-EI-6882,0,-1,1
TCGA-D5-7000,2,-1,2
TCGA-AA-3812,0,-1,0
TCGA-D5-6540,2,-1,2
TCGA-EI-6881,3,-1,3
TCGA-F5-6810,1,-1,0
TCGA-AG-3575,0,-1,1
TCGA-AA-3952,3,-1,3
TCGA-CM-6679,1,-1,3
TCGA-AZ-6600,1,-1,0
TCGA-CA-5256,2,-1,1
TCGA-F5-6814,0,-1,1
TCGA-AZ-4323,0,-1,1
TCGA-AG-3885,0,-1,0
TCGA-AA-3842,1,-1,1
TCGA-AH-6547,3,-1,3
TCGA-AF-4110,3,-1,3
TCGA-AZ-6603,1,-1,0
TCGA-D5-6898,3,-1,3
TCGA-A6-5662,3,-1,3
TCGA-EI-6883,3,-1,3
TCGA-AG-3581,3,-1,3
TCGA-CM-6680,0,-1,1
TCGA-CM-4746,2,-1,2
TCGA-4N-A93T,0,-1,1
TCGA-F4-6703,0,-1,1
TCGA-AA-3532,1,-1,0
TCGA-G4-6311,1,-1,0
TCGA-AG-4007,1,-1,0
TCGA-DM-A0X9,2,-1,2
TCGA-AZ-4682,3,-1,1
TCGA-QG-A5Z2,0,-1,1
TCGA-A6-2682,2,-1,2
TCGA-DC-4749,3,-1,3
TCGA-D5-5538,1,-1,0
TCGA-CA-6717,0,-1,1
TCGA-D5-6531,1,-1,1
TCGA-AG-4022,2,-1,2
TCGA-CK-5915,2,-1,2
TCGA-D5-6927,0,-1,1
TCGA-AA-A02W,1,-1,0
TCGA-G4-6298,3,-1,3
TCGA-D5-6539,1,-1,1
TCGA-AH-6897,0,-1,1
TCGA-AA-3667,1,-1,0
TCGA-AH-6643,2,-1,2
TCGA-AA-3867,3,-1,3
TCGA-G4-6299,1,-1,3
TCGA-A6-5661,0,-1,1
TCGA-AZ-4681,1,-1,0
TCGA-AG-A026,3,-1,3
TCGA-DC-5869,1,-1,0
TCGA-CM-5864,2,-1,2
TCGA-AG-3727,3,-1,0
TCGA-DC-6158,3,-1,3
TCGA-AA-3869,1,-1,0
TCGA-AA-3811,2,-1,2
TCGA-CM-6171,0,-1,1
TCGA-5M-AATA,1,-1,0
TCGA-D5-6922,1,-1,0
TCGA-AG-3909,1,-1,1
TCGA-CK-4950,0,-1,1
TCGA-CL-5917,1,-1,0
TCGA-F4-6855,0,-1,1
TCGA-A6-6651,3,-1,1
TCGA-AA-3821,0,-1,1
TCGA-AA-3846,2,-1,2
TCGA-AA-3984,0,-1,1
TCGA-AZ-4684,1,-1,0
TCGA-DY-A1DE,1,-1,0
TCGA-AG-A02N,0,-1,3
TCGA-A6-2675,1,-1,0
TCGA-AF-6655,1,-1,0
TCGA-EI-6514,2,-1,2
TCGA-AF-3911,1,-1,0
TCGA-AA-3872,1,-1,0
TCGA-AA-3538,3,-1,3
TCGA-A6-4107,2,-1,2
TCGA-G4-6302,2,-1,1
TCGA-3L-AA1B,2,-1,2
TCGA-AA-3549,1,-1,1
TCGA-F5-6813,0,-1,1
TCGA-AA-3973,0,-1,1
TCGA-CM-6675,0,-1,1
TCGA-AA-3844,0,-1,1
TCGA-AG-3586,1,-1,0
TCGA-A6-2674,1,-1,0
TCGA-G4-6627,2,-1,2
TCGA-EI-7002,1,-1,1
TCGA-AA-3837,0,-1,1
TCGA-A6-5664,0,-1,1
TCGA-DM-A1D9,1,-1,3
TCGA-DC-6154,3,-1,3
TCGA-D5-6932,3,-1,3
TCGA-AY-6386,0,-1,1
TCGA-AD-6890,0,-1,1
TCGA-AA-3989,0,-1,1
TCGA-T9-A92H,0,-1,3
TCGA-DC-6681,0,-1,1
TCGA-A6-6648,3,-1,3
TCGA-NH-A50U,1,-1,3
TCGA-G4-6295,3,-1,3
TCGA-AA-3845,0,-1,1
TCGA-AG-3609,0,-1,1
TCGA-AG-A025,0,-1,1
TCGA-NH-A6GA,3,-1,1
TCGA-AG-3602,3,-1,1
TCGA-CM-6161,2,-1,2
TCGA-AD-A5EK,2,-1,2
TCGA-4T-AA8H,2,-1,2
TCGA-A6-6140,3,-1,3
TCGA-AA-3688,1,-1,0
TCGA-A6-6780,0,-1,1
TCGA-CM-5863,2,-1,2
TCGA-AA-3511,2,-1,2
TCGA-A6-5660,1,-1,0
TCGA-AA-3679,1,-1,0
TCGA-AG-3894,0,-1,1
TCGA-SS-A7HO,3,-1,3
TCGA-AA-3986,0,-1,1
TCGA-CM-6167,2,-1,1
TCGA-CM-5341,2,-1,1
TCGA-AY-A54L,2,-1,2
TCGA-DT-5265,0,-1,1
TCGA-A6-6654,1,-1,0
TCGA-AG-3902,3,-1,3
TCGA-A6-3810,1,-1,0
TCGA-D5-6535,1,-1,3
TCGA-AF-2690,1,-1,0
TCGA-DM-A1D8,0,-1,1
TCGA-AA-A02R,0,-1,1
TCGA-5M-AAT5,3,-1,3
TCGA-AZ-4315,0,-1,1
TCGA-AA-3548,1,-1,3
TCGA-AA-3818,0,-1,1
TCGA-D5-6529,2,-1,2
TCGA-AA-A01K,3,-1,3
TCGA-DC-6682,1,-1,0
TCGA-A6-6652,1,-1,0
TCGA-A6-6781,0,-1,1
TCGA-AG-3600,3,-1,3
TCGA-AA-3977,0,-1,1
TCGA-AA-3660,1,-1,3
TCGA-AG-3599,0,-1,1
TCGA-AG-3892,0,-1,1
TCGA-AA-A02F,3,-1,3
TCGA-F4-6459,1,-1,2
TCGA-AA-3495,1,-1,0
TCGA-AA-3852,2,-1,2
TCGA-5M-AAT6,1,-1,3
TCGA-DM-A282,0,-1,1
TCGA-AA-A01S,1,-1,0
TCGA-A6-6141,0,-1,1
TCGA-AG-A02G,3,-1,3
TCGA-AA-3877,0,-1,1
TCGA-A6-6138,0,-1,3
TCGA-AD-6889,0,-1,1
TCGA-D5-6931,0,-1,1
TCGA-AD-6964,0,-1,1
TCGA-AA-3848,0,-1,0
TCGA-EF-5831,3,-1,3
TCGA-F5-6464,1,-1,0
TCGA-AA-3819,3,-1,3
TCGA-AA-3875,2,-1,2
TCGA-AF-6672,1,-1,0
TCGA-G4-6294,0,-1,1
TCGA-AG-3601,3,-1,3
TCGA-CM-6170,3,-1,3
TCGA-DY-A1DD,3,-1,3
TCGA-AD-6963,2,-1,2
TCGA-A6-2672,0,-1,1
TCGA-AA-3968,0,-1,1
TCGA-AA-A022,0,-1,1
TCGA-AG-3887,2,-1,2
TCGA-D5-6926,1,-1,0
TCGA-AA-A01X,0,-1,1
TCGA-CI-6619,2,-1,2
TCGA-AG-3593,3,-1,3
TCGA-A6-A567,1,-1,1
TCGA-F5-6571,3,-1,3
TCGA-AA-3692,1,-1,0
TCGA-CM-4748,0,-1,1
TCGA-AA-3850,0,-1,1
TCGA-AA-3976,1,-1,1
TCGA-G4-6297,0,-1,1
TCGA-AA-3955,3,-1,1
TCGA-AG-3598,2,-1,1
TCGA-NH-A5IV,0,-1,1
TCGA-DM-A1DB,1,-1,3
TCGA-EI-6509,2,-1,2
TCGA-AG-3725,0,-1,1
TCGA-DY-A1H8,3,-1,3
TCGA-AD-A5EJ,0,-1,1
TCGA-CI-6622,0,-1,1
TCGA-AF-6136,3,-1,1
TCGA-CM-6162,0,-1,1
TCGA-D5-6533,3,-1,3
TCGA-G4-6293,0,-1,1
TCGA-AA-3529,1,-1,0
TCGA-A6-2679,0,-1,0
TCGA-CI-6620,0,-1,3
TCGA-AZ-6605,3,-1,3
TCGA-DM-A1HA,3,-1,1
TCGA-AF-2687,1,-1,2
TCGA-AH-6903,0,-1,1
TCGA-CL-5918,2,-1,2
TCGA-AA-3524,2,-1,2
TCGA-CM-5348,1,-1,0
TCGA-F4-6856,0,-1,1
TCGA-F4-6704,0,-1,1
TCGA-DY-A1DC,3,-1,3
TCGA-F5-6864,3,-1,3
TCGA-AG-3608,3,-1,3
TCGA-D5-5540,3,-1,1
TCGA-AZ-4615,2,-1,2
TCGA-5M-AATE,2,-1,2
TCGA-EI-6511,3,-1,3
TCGA-CK-6751,0,-1,1
TCGA-AG-3898,2,-1,2
TCGA-AA-3870,1,-1,3
TCGA-AA-3488,1,-1,0
TCGA-AA-3693,3,-1,3
TCGA-DM-A28G,1,-1,3
TCGA-AA-3517,3,-1,3
TCGA-AD-6888,3,-1,3
TCGA-A6-A5ZU,1,-1,0
TCGA-AA-3950,0,-1,1
TCGA-AU-3779,0,-1,3
TCGA-DM-A28C,0,-1,1
TCGA-F5-6863,1,-1,0
TCGA-AA-3521,2,-1,2
TCGA-AZ-4616,2,-1,2
TCGA-AA-A00E,0,-1,1
TCGA-DM-A28K,2,-1,2
TCGA-AM-5820,0,-1,1
TCGA-CM-6169,3,-1,3
TCGA-AH-6644,1,-1,0
TCGA-AA-3851,1,-1,0
TCGA-F5-6812,0,-1,1
TCGA-CK-6747,0,-1,1
TCGA-AA-3655,0,-1,1
TCGA-CM-6168,3,-1,2
TCGA-G4-6628,0,-1,1
TCGA-AA-3841,3,-1,0
TCGA-AY-A8YK,0,-1,1
TCGA-AA-3525,0,-1,1
TCGA-EI-6917,0,-1,1
TCGA-D5-6537,2,-1,2
TCGA-AA-A00J,0,-1,1
TCGA-NH-A50V,3,-1,3
TCGA-F4-6805,1,-1,3
TCGA-AF-5654,0,-1,1
TCGA-AG-3731,2,-1,2
TCGA-A6-5657,1,-1,3
TCGA-AA-3681,3,-1,3
TCGA-AA-3695,2,-1,1
TCGA-AA-3526,2,-1,2
TCGA-AG-3726,1,-1,0
TCGA-G4-6304,2,-1,2
TCGA-AF-A56L,3,-1,3
TCGA-AF-A56N,3,-1,3
TCGA-CM-4752,1,-1,0
TCGA-AH-6544,2,-1,2
TCGA-AG-3883,3,-1,0
TCGA-A6-5667,3,-1,3
TCGA-AY-4071,0,-1,1
TCGA-AA-A029,2,-1,2
TCGA-AM-5821,2,-1,1
TCGA-CM-5862,1,-1,1
TCGA-AF-2691,1,-1,3
TCGA-AA-3666,0,-1,1
TCGA-AG-3591,1,-1,1
TCGA-AA-3555,0,-1,1
TCGA-AZ-4614,3,-1,3
TCGA-DM-A1D4,3,-1,3
TCGA-A6-2681,1,-1,0
TCGA-AA-3543,1,-1,1
TCGA-DM-A0XF,3,-1,3
TCGA-A6-5665,0,-1,1
TCGA-DM-A285,1,-1,0
TCGA-AA-A01T,1,-1,0
TCGA-DM-A1HB,0,-1,1
TCGA-A6-2677,0,-1,3
TCGA-AA-A01R,0,-1,1
TCGA-AA-3685,1,-1,1
TCGA-AA-3520,1,-1,1
TCGA-G4-6303,1,-1,0
TCGA-CA-6718,0,-1,1
TCGA-AD-6901,1,-1,0
TCGA-D5-5541,3,-1,3
TCGA-A6-2685,2,-1,3
TCGA-AG-3742,3,-1,3
TCGA-AA-3552,1,-1,0
TCGA-CA-5796,0,-1,1
