,t-SNE1,t-SNE2,K-means Cluster,DBSCAN Cluster,Hierarchical Cluster
TCGA-CK-4951,16.315334,2.055383,0,-1,1
TCGA-AF-3400,-10.782368,0.39245886,1,-1,0
TCGA-AA-3518,14.017331,-0.91502607,0,-1,1
TCGA-G4-6626,-24.894857,0.6446176,1,-1,0
TCGA-F4-6808,2.3542352,11.139399,3,-1,3
TCGA-EI-7004,15.427857,10.155033,0,-1,1
TCGA-G4-6586,-8.045861,3.149149,0,-1,1
TCGA-A6-4105,3.7025568,13.320896,3,-1,3
TCGA-CI-6624,-13.944195,7.294984,1,-1,3
TCGA-AD-5900,33.919178,-0.45840323,2,-1,2
TCGA-EI-6507,13.561083,4.281247,0,-1,1
TCGA-AG-A020,-4.989076,7.758733,3,-1,3
TCGA-AA-3663,30.505066,4.2975307,2,-1,2
TCGA-AY-4070,-21.848904,-0.13353327,1,-1,0
TCGA-AA-3864,16.938719,-1.7818111,0,-1,1
TCGA-A6-6142,-25.280634,-4.4719124,1,-1,0
TCGA-AG-A01W,-13.196485,11.655282,3,-1,3
TCGA-CA-5797,-17.699787,-7.1657987,1,-1,0
TCGA-AA-A00D,-13.855837,13.993042,3,-1,3
TCGA-CA-6715,-25.266302,-0.31623745,1,-1,0
TCGA-DC-6156,-22.575783,-11.035975,1,-1,0
TCGA-AZ-6599,9.193209,1.9309721,0,-1,1
TCGA-AF-A56K,2.7234123,13.330056,3,-1,3
TCGA-A6-2676,15.6135645,-0.24247395,0,-1,1
TCGA-D5-6532,2.6987152,-4.5342965,0,-1,3
TCGA-AA-3715,28.363169,-0.4884758,2,-1,2
TCGA-AA-3710,16.942448,-0.48034936,0,-1,1
TCGA-AG-3890,-22.23475,-7.702366,1,-1,0
TCGA-EI-6510,1.4272771,-9.137856,0,-1,1
TCGA-AG-3728,-10.981671,-16.764666,1,-1,0
TCGA-CM-6164,33.320816,11.26429,2,-1,2
TCGA-AA-3542,-17.18669,-17.499382,3,-1,0
TCGA-D5-6930,13.920731,0.94582564,0,-1,1
TCGA-QG-A5YX,39.337864,4.735521,2,-1,2
TCGA-A6-5659,-8.026403,-8.66607,1,-1,1
TCGA-RU-A8FL,-18.477346,16.220837,3,-1,3
TCGA-AY-5543,-4.1543727,10.364526,3,-1,3
TCGA-EI-6508,3.8191307,-14.208845,0,-1,1
TCGA-AA-3713,30.453573,0.8064484,2,-1,2
TCGA-AZ-4313,13.785835,-4.733743,0,-1,1
TCGA-CM-6677,39.087894,0.1706493,2,-1,2
TCGA-G5-6641,-12.183583,6.7644353,3,-1,3
TCGA-A6-A56B,-14.505822,5.3601475,1,-1,3
TCGA-F4-6806,0.6596688,10.525372,3,-1,3
TCGA-DM-A28A,-2.7173398,13.772891,3,-1,3
TCGA-EI-6506,2.7356749,-14.833245,0,-1,1
TCGA-5M-AAT4,-27.012854,2.1333015,1,-1,0
TCGA-AA-3510,15.496568,-3.3242326,0,-1,1
TCGA-F4-6570,32.408947,-0.5108656,2,-1,2
TCGA-AG-4005,-22.167854,-4.826333,1,-1,0
TCGA-CM-6166,-25.884922,1.1298531,1,-1,0
TCGA-EF-5830,-15.599532,-1.3914614,1,-1,3
TCGA-CM-6674,13.770933,0.32155764,0,-1,1
TCGA-DM-A28F,-22.273388,-6.1072845,1,-1,0
TCGA-AA-3680,-5.8134837,6.0876737,3,-1,1
TCGA-AZ-4308,-15.188485,-18.997614,3,-1,0
TCGA-DC-6157,-20.195742,1.5868002,1,-1,0
TCGA-AF-2693,-6.53733,-10.321601,0,-1,1
TCGA-DY-A1DF,42.465904,0.8685179,2,-1,2
TCGA-CM-6163,-20.928652,-6.3786798,1,-1,0
TCGA-AG-3732,-16.60059,5.5108047,1,-1,3
TCGA-AG-4008,-5.2593455,-8.9628105,0,-1,1
TCGA-AG-3580,4.184309,-12.475419,0,-1,1
TCGA-AG-3882,-10.265223,-18.394138,0,-1,0
TCGA-F4-6460,-17.709013,-9.406657,1,-1,0
TCGA-AA-3522,4.7041335,2.0243423,2,-1,2
TCGA-AG-4001,-21.446125,3.3628738,1,-1,0
TCGA-CA-6719,-29.272463,1.4551057,1,-1,0
TCGA-D5-6534,-12.086928,16.115448,3,-1,3
TCGA-DM-A280,12.616453,-4.178382,0,-1,1
TCGA-AG-3605,-13.127288,-2.7037847,1,-1,1
TCGA-DC-5337,7.7717056,-11.098013,0,-1,1
TCGA-A6-6649,34.38478,-2.4414225,2,-1,2
TCGA-NH-A6GB,-23.509089,-0.33848402,1,-1,0
TCGA-D5-6541,-12.145038,1.1385698,1,-1,3
TCGA-AA-A02O,36.379227,7.096208,2,-1,1
TCGA-AG-3582,-26.41341,-2.2041328,1,-1,0
TCGA-G4-6317,-15.315287,15.337951,3,-1,3
TCGA-CM-4747,37.253086,1.279621,2,-1,2
TCGA-CM-5861,28.874481,2.2295768,2,-1,2
TCGA-A6-3809,18.494526,-1.9694033,0,-1,1
TCGA-QG-A5Z1,-19.966347,6.558373,3,-1,3
TCGA-G4-6588,14.74569,1.1512583,0,-1,1
TCGA-AZ-6606,-5.566605,9.303564,3,-1,3
TCGA-G4-6307,-31.923862,-4.550264,1,-1,0
TCGA-QL-A97D,-3.9257033,5.9981575,0,-1,1
TCGA-AG-A01Y,-18.5397,13.339913,3,-1,3
TCGA-AY-6196,15.447822,10.277512,0,-1,1
TCGA-CM-5868,-28.39149,2.2155921,1,-1,0
TCGA-WS-AB45,23.314045,8.670492,2,-1,1
TCGA-F5-6465,37.241997,3.1459343,2,-1,2
TCGA-AA-3514,-11.037674,-20.024635,2,-1,0
TCGA-A6-2680,-26.157522,-8.2682295,1,-1,0
TCGA-AA-3553,-15.884004,14.370418,3,-1,3
TCGA-DC-6683,-16.2096,12.91472,3,-1,3
TCGA-AD-6899,-18.612053,-8.419484,1,-1,0
TCGA-AA-A03F,7.82927,-3.074295,0,-1,0
TCGA-AG-3574,30.754972,8.2732935,2,-1,2
TCGA-AA-3494,-28.75543,0.39495972,1,-1,0
TCGA-DM-A28H,-19.518885,-3.0662441,1,-1,0
TCGA-DM-A1D7,-4.3254347,10.474297,3,-1,3
TCGA-AA-A03J,-3.0198674,12.207603,3,-1,3
TCGA-F4-6569,35.640926,3.7133532,2,-1,2
TCGA-AG-3587,-27.947304,-0.44614637,1,-1,0
TCGA-F4-6807,41.967537,2.0314481,2,-1,2
TCGA-AA-3854,-9.130846,4.541397,0,-1,3
TCGA-AG-3901,-0.028432209,-13.975937,0,-1,1
TCGA-AG-3896,-17.39965,-6.093101,1,-1,0
TCGA-EI-6882,11.558471,1.8972383,0,-1,1
TCGA-D5-7000,35.41193,0.7950912,2,-1,2
TCGA-AA-3812,-10.568064,-18.641785,0,-1,0
TCGA-D5-6540,29.171429,1.2124683,2,-1,2
TCGA-EI-6881,-1.827406,10.36516,3,-1,3
TCGA-F5-6810,-22.769245,-7.0852785,1,-1,0
TCGA-AG-3575,15.067762,-6.725998,0,-1,1
TCGA-AA-3952,-4.1630116,9.485509,3,-1,3
TCGA-CM-6679,-20.11522,6.2304325,1,-1,3
TCGA-AZ-6600,-29.736341,1.352183,1,-1,0
TCGA-CA-5256,30.531666,-6.1858683,2,-1,1
TCGA-F5-6814,19.73699,4.6447616,0,-1,1
TCGA-AZ-4323,-1.5873692,-13.262295,0,-1,1
TCGA-AG-3885,-12.374679,-18.07917,0,-1,0
TCGA-AA-3842,-14.414727,-7.6435256,1,-1,1
TCGA-AH-6547,-3.325295,8.602189,3,-1,3
TCGA-AF-4110,-0.67017174,9.242536,3,-1,3
TCGA-AZ-6603,-25.76987,-2.9019995,1,-1,0
TCGA-D5-6898,-19.34119,9.40595,3,-1,3
TCGA-A6-5662,-11.645571,12.449173,3,-1,3
TCGA-EI-6883,-18.210127,10.187149,3,-1,3
TCGA-AG-3581,1.6883897,10.648458,3,-1,3
TCGA-CM-6680,8.446132,1.241789,0,-1,1
TCGA-CM-4746,29.24463,5.4564996,2,-1,2
TCGA-4N-A93T,-8.849027,-11.6558,0,-1,1
TCGA-F4-6703,16.213629,8.260831,0,-1,1
TCGA-AA-3532,-27.718357,-3.7044628,1,-1,0
TCGA-G4-6311,-23.297537,-1.1391193,1,-1,0
